AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,17811,Ekapad Saran,30,F,A1
2,7227,Riya Vohra,56,M,A1
3,21970,Eesha Dass,44,M,A1
4,36977,Xalak Toor,32,M,A1
5,36977,Jhalak Garg,39,F,A2
6,22285,Manbir Sankar,51,M,A1
7,22285,Max Rege,46,M,A2
8,7946,Janaki Sawhney,22,F,A1
9,7946,Vasatika Chaudhari,17,F,A2
10,21271,Kritika Luthra,36,M,A1
11,21271,Pushti Sagar,26,F,A2
12,30973,Chakradhar Chadha,42,F,A1
13,30973,Fitan Bhandari,44,M,A2
14,25722,Kamya Bobal,60,F,A1
15,25722,Falguni Keer,47,M,A2
16,15104,Benjamin Chowdhury,57,F,A1
17,15104,Chanakya Munshi,22,M,A2
18,6412,Udarsh Bora,53,M,A1
19,916,Ekaja Shenoy,23,M,A1
20,32897,Faqid Bhakta,58,M,A1
21,32897,Rushil Gupta,41,M,A2
22,12887,Balhaar Shukla,41,F,A1
23,12880,Yashodhara Sahota,57,M,A1
24,12880,Chaitanya Gera,16,M,A2
25,22254,Jatin Issac,41,M,A1
26,5533,Lohit Kapoor,48,M,A1
27,6965,Rajata Bath,49,F,A1
28,9385,Qasim Madan,28,M,A1
29,9385,Hredhaan Yogi,50,M,A2
30,400,Ekanta Nagy,31,M,A1
31,17770,Abhiram Narayan,56,M,A1
32,17770,Jason Rout,43,M,A2
33,39347,Aadi Natt,29,M,A1
34,1183,Nicholas Chakrabarti,46,M,A1
35,19041,Anthony Ganesan,58,M,A1
36,16679,Balendra Barman,47,M,A1
37,16679,Dipta Brar,17,M,A2
38,4378,Radhika Kothari,47,F,A1
39,2515,Nathaniel Mani,52,M,A1
40,25412,Ayushman Joshi,48,F,A1
41,4213,Upadhriti Shankar,27,F,A1
42,6543,Daniel Din,44,F,A1
43,15398,Lakshit Chacko,32,M,A1
44,34547,Rudra De,54,M,A1
45,27950,Brinda Sahota,47,M,A1
46,27950,Krish Palla,60,F,A2
47,15961,Wakeeta Sankar,26,M,A1
48,32751,Vedant Kadakia,40,F,A1
49,32751,Harrison Mitter,49,F,A2
50,24003,Anthony Varty,47,M,A1
51,24003,Nachiket Bansal,27,F,A2
52,24439,Gaurangi Nadig,21,M,A1
53,24439,Idika Ben,17,F,A2
54,30621,Osha Nadig,20,M,A1
55,30621,Girindra Kalla,45,M,A2
56,39420,Krishna Kata,37,M,A1
57,39420,Kai Joshi,33,F,A2
58,2028,Alka Bala,38,F,A1
59,22190,Wyatt Kapoor,59,F,A1
60,22190,Ati Apte,52,F,A2
61,33355,Umang Bedi,36,M,A1
62,16714,Arin Lala,48,F,A1
63,16714,Benjamin Bains,31,F,A2
64,20594,Mitesh Viswanathan,29,F,A1
65,20594,Timothy Vala,33,M,A2
66,34182,Rushil Patla,32,F,A1
67,19778,Abha Suresh,23,M,A1
68,19778,Jagat Sidhu,24,M,A2
69,19107,Hemal Bala,35,F,A1
70,12002,Fitan Choudhury,22,F,A1
71,30534,Gaurang Agrawal,42,M,A1
72,21649,Edhitha Naidu,49,M,A1
73,21649,Chameli Vohra,23,M,A2
74,896,Sarthak Sundaram,51,F,A1
75,34083,Amol Agrawal,39,M,A1
76,34083,Fiyaz Choudhury,57,F,A2
77,32538,Onkar Dhingra,22,M,A1
78,32538,Balveer Chana,33,M,A2
79,17794,Vanya Agrawal,51,M,A1
80,11488,Sathvik Lata,57,F,A1
81,21301,Bhavya Cherian,40,F,A1
82,17253,Gautam Taneja,24,M,A1
83,17253,Jackson Taneja,37,F,A2
84,21732,Darpan Ramesh,49,F,A1
85,21732,Hritik Bhardwaj,38,M,A2
86,32336,Upasna Raval,20,M,A1
87,32336,Ridhi Bedi,30,M,A2
88,29710,Maanav Mandal,47,F,A1
89,29710,Anay Chaudhuri,34,M,A2
90,7844,Hamsini Iyengar,41,F,A1
91,29078,Abdul Deep,37,M,A1
92,29078,Barkha Ahluwalia,25,M,A2
93,25100,Anjali Om,48,F,A1
94,25100,William Madan,53,M,A2
95,35916,Ishaan Khalsa,20,F,A1
96,35916,Nicholas Lata,21,M,A2
97,25341,Pranav Banik,20,M,A1
98,25341,Dayamai Pandit,56,M,A2
99,1265,Viraj Nadig,25,M,A1
100,33756,Chatura Kulkarni,40,F,A1
101,33756,Frederick Ganesan,49,F,A2
102,34194,Jeet Kohli,29,F,A1
103,39028,Kamya Cheema,35,F,A1
104,39028,Avni Bahri,43,F,A2
105,11530,Kalpit Keer,59,M,A1
106,30327,Janaki Bhatnagar,38,F,A1
107,30327,Samesh Nazareth,16,M,A2
108,36327,Lavanya Deo,44,M,A1
109,8067,Banjeet Contractor,28,F,A1
110,14081,Samaksh Shankar,51,F,A1
111,14081,Ekbal Boase,28,M,A2
112,37261,Nirja Randhawa,58,M,A1
113,37261,Radha Bumb,24,F,A2
114,23894,Anirudh Shan,22,M,A1
115,7532,Thomas Sankar,44,M,A1
116,27395,Ekanta Date,52,M,A1
117,9317,Mitesh Bhatt,44,F,A1
118,9317,Pranav Dasgupta,45,M,A2
119,38601,Yash Lal,41,M,A1
120,28828,Meera Pradhan,39,M,A1
121,32625,Vedika Bakshi,31,F,A1
122,32625,Logan Dhar,26,M,A2
123,15438,Nidhi Parikh,18,F,A1
124,15438,Veer Thaker,31,F,A2
125,25561,Upma Kari,42,M,A1
126,18498,Ishanvi Vohra,51,F,A1
127,18498,Hemal Brar,43,F,A2
128,3677,Meera Bassi,23,F,A1
129,14203,Nitesh Chakrabarti,25,F,A1
130,14203,Hiral Padmanabhan,38,M,A2
131,35921,Rajata Agate,23,M,A1
132,35921,Aashi Sidhu,25,M,A2
133,26325,Raagini Kalla,59,F,A1
134,18460,Meghana Gola,43,F,A1
135,29880,Aayush Dugal,55,F,A1
136,14806,Gaurangi Barman,35,F,A1
137,14806,Meera Verma,23,M,A2
138,17776,Yashasvi Oommen,49,F,A1
139,17776,Ganga Kale,33,F,A2
140,21484,Aachal Dugal,30,M,A1
141,29786,Aryan Nigam,22,F,A1
142,2943,Ranbir Raj,21,F,A1
143,16754,Rajeshri Solanki,31,F,A1
144,6475,Turvi Choudhary,45,F,A1
145,6475,Watika Yohannan,25,M,A2
146,21536,Ati Gara,18,F,A1
147,36231,Vidhi Saha,34,F,A1
148,3670,Anika Rege,22,M,A1
149,25730,Triya Agarwal,18,M,A1
150,25730,Qadim Nadkarni,30,M,A2
151,14950,Eshana Buch,46,F,A1
152,14950,Christopher Kunda,58,F,A2
153,35587,Aradhana Dass,43,M,A1
154,8282,Rishi Tiwari,57,F,A1
155,8282,Siddharth Seshadri,30,M,A2
156,37030,Joshua Bedi,47,F,A1
157,20901,Girik Sunder,53,M,A1
158,20901,Reva Upadhyay,18,M,A2
159,6924,Nachiket Kakar,29,M,A1
160,6924,Faris Chaudry,59,F,A2
161,16549,Benjamin Oza,33,F,A1
162,16549,Pahal Patil,37,M,A2
163,18750,Krishna Venkataraman,23,M,A1
164,18750,Tanmayi Sura,48,M,A2
165,11848,Praneel Dhaliwal,20,M,A1
166,32391,Dayita Sant,20,M,A1
167,32391,Chanchal Narain,24,F,A2
168,19259,Baghyawati Karnik,43,M,A1
169,31561,Wakeeta Dara,34,M,A1
170,31561,Veda Sridhar,21,F,A2
171,921,Ekaja Shenoy,23,M,A1
172,8123,Samesh Kaul,45,M,A1
173,25706,Nidhi Swamy,22,F,A1
174,25706,Naveen Sathe,53,F,A2
175,21299,Siya Pant,30,F,A1
176,6938,Mekhala Balan,55,M,A1
177,6938,Samesh Tiwari,23,M,A2
178,11834,Chanchal Thaman,41,M,A1
179,11834,Luke Setty,23,F,A2
180,32678,Zashil Kapadia,28,M,A1
181,32678,Jonathan Gandhi,44,M,A2
182,20324,Ekantika Gade,29,M,A1
183,20324,Yashvi Dara,55,M,A2
184,3876,Ubika Bath,49,M,A1
185,6715,Aishani Wali,46,M,A1
186,6715,Omya Deo,38,M,A2
187,34926,Deepa Raman,34,F,A1
188,39549,Chakradev Kibe,26,F,A1
189,560,Isha Vasa,22,F,A1
190,13104,Noah Mall,47,F,A1
191,20143,Dev Khosla,43,F,A1
192,20143,Geetika Karan,39,M,A2
193,33106,Yoshita Vala,39,F,A1
194,10002,Chandran Mallick,57,F,A1
195,10002,Ekalinga Dutta,17,F,A2
196,23222,Darpan Dixit,29,M,A1
197,35749,Sarthak Lal,48,F,A1
198,35749,Anmol Cheema,48,F,A2
199,7039,Rachana Hora,28,F,A1
200,7039,Tarak Palla,45,M,A2
201,21286,Nachiket Sibal,48,F,A1
202,21286,Maanav Nagy,32,M,A2
203,9571,Kiaan Garde,53,F,A1
204,15943,Reva Kibe,32,M,A1
205,17463,Neelima Keer,19,F,A1
206,10041,Advaith Ramesh,34,F,A1
207,10041,Oeshi Ray,28,F,A2
208,37338,Turvi Gupta,41,M,A1
209,37338,Yatan Hayer,60,F,A2
210,7638,Aadhya Wagle,19,M,A1
211,7638,Ira Sant,56,F,A2
212,34257,Nathan Arya,46,F,A1
213,7175,Devansh Rao,57,F,A1
214,7175,William Memon,46,F,A2
215,6378,Jeet Goswami,34,F,A1
216,6378,Ekalinga Pau,53,M,A2
217,4485,Kavya Bhatnagar,30,F,A1
218,6234,Gagan Dada,47,M,A1
219,25954,Yamini Sami,27,M,A1
220,35802,Udant Choudhary,51,F,A1
221,35802,Warjas Jani,59,M,A2
222,8750,Arjun Gala,57,F,A1
223,8750,Yauvani Dada,57,F,A2
224,32272,Fiyaz Kibe,58,F,A1
225,32272,Warda Ghosh,25,M,A2
226,36449,Utkarsh Manda,36,F,A1
227,36449,Yutika Borah,33,M,A2
228,18614,Suhani Sane,33,F,A1
229,18614,Nitara Reddy,59,M,A2
230,24039,Veer Dewan,47,M,A1
231,24039,Fiyaz Raghavan,25,F,A2
232,10834,Agastya Sura,41,M,A1
233,22249,Amruta Anand,56,M,A1
234,22249,Zayyan Dhar,52,F,A2
235,7321,Yasti Savant,47,M,A1
236,7321,Veer Kata,25,M,A2
237,2667,Tanvi Brahmbhatt,46,M,A1
238,20743,Nisha Gole,19,F,A1
239,20743,Qadim Memon,59,F,A2
240,24929,Sudiksha Rana,19,M,A1
241,24929,Chasmum Rajagopalan,53,F,A2
242,5335,Aayush Chauhan,32,F,A1
243,25311,Sathvik Parekh,33,M,A1
244,28511,Edhitha Karnik,24,F,A1
245,28511,Faris Kumer,42,M,A2
246,5945,Agastya Parmar,29,M,A1
247,6554,Indali Baria,33,M,A1
248,25788,Veda Bhat,31,F,A1
249,25788,Hemang Ben,22,F,A2
250,11972,Sanaya Baria,41,M,A1
251,30658,Ishita Chaudhary,53,M,A1
252,20795,Darpan Narayanan,48,M,A1
253,20795,Chatresh Singh,17,F,A2
254,23887,Ishanvi Sanghvi,18,F,A1
255,23887,Ekalinga Dugar,18,F,A2
256,19215,Upma Rastogi,22,M,A1
257,19215,Ira Yohannan,37,F,A2
258,8951,Barkha Bhakta,47,M,A1
259,8951,Turvi Kohli,43,F,A2
260,22161,Yoshita Nayar,45,M,A1
261,22161,Oliver Aurora,58,F,A2
262,7993,Brijesh Salvi,39,M,A1
263,7993,Eta Mittal,41,F,A2
264,21714,Harinakshi Khosla,29,M,A1
265,21714,Luke Kala,44,F,A2
266,22695,Utkarsh Narayan,20,M,A1
267,22695,Jack Bahl,18,M,A2
268,33983,Harsh Ahuja,32,M,A1
269,33983,Balvan Mannan,40,M,A2
270,33603,Damyanti Hayer,60,M,A1
271,35334,Christopher Sant,22,M,A1
272,27458,Agastya Sachdev,49,M,A1
273,27458,Qabil Mani,37,F,A2
274,33886,Ekanta Bora,43,M,A1
275,7902,Netra Hegde,25,F,A1
276,7902,Manbir Agrawal,54,M,A2
277,27640,Suhani Sandal,52,F,A1
278,27640,Kai Venkataraman,60,M,A2
279,38409,Ishaan Pingle,17,M,A1
280,38409,Dhriti Narain,19,M,A2
281,3875,Ubika Bath,49,M,A1
282,16827,Yasti Subramaniam,40,F,A1
283,15230,Manya Deshmukh,59,F,A1
284,39126,Saanvi Narang,29,F,A1
285,29079,Wakeeta Din,23,F,A1
286,17233,Aayush Sandal,24,F,A1
287,17233,Triveni Bera,35,M,A2
288,19410,Geetika Karan,27,M,A1
289,19410,Om Anne,22,F,A2
290,18903,Kashvi Yogi,45,F,A1
291,19909,Jeevika Cherian,24,M,A1
292,19909,Aradhana Sur,25,M,A2
293,15813,Jatin Dar,25,M,A1
294,15813,Mason Pal,35,F,A2
295,24996,Naksh Lad,56,M,A1
296,20081,Fariq Narasimhan,39,M,A1
297,3256,Megha Dugar,21,F,A1
298,1588,Ucchal Palla,47,F,A1
299,23644,Jagrati Pall,29,F,A1
300,30218,Darpan Bora,17,M,A1
301,5034,Yatin Sridhar,39,F,A1
302,32656,Sudiksha Grewal,49,F,A1
303,32656,Saanvi Sibal,23,F,A2
304,29420,Qasim Shanker,36,F,A1
305,29420,Libni Sem,22,M,A2
306,18783,Yatin Gaba,20,F,A1
307,7416,Avi Oza,56,M,A1
308,23297,Zansi Borde,58,F,A1
309,23297,Aarna Srinivasan,49,M,A2
310,23491,Tejas Mander,58,M,A1
