ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
17811,17811,Vritti Mishra,51,8,2,5,F
7227,7227,Ekiya Gole,37,2,1,1,M
21970,21970,Ladli Pathak,25,6,4,2,M
36977,36977,Yochana Seshadri,74,2,3,2,M
22285,22285,Qadim Naik,36,6,2,2,F
7946,7946,Adweta Pau,69,1,2,3,F
21271,21271,Nachiket Batra,21,2,4,1,F
30973,30973,Bhanumati Bera,31,2,2,2,M
25722,25722,Rajata Bakshi,60,8,3,2,F
15104,15104,Jonathan Handa,19,8,3,2,F
6412,6412,Ekanta Wable,75,6,4,2,M
916,916,Samuel Manda,46,8,4,3,M
32897,32897,Ekansh Bali,57,5,4,5,F
12887,12887,Triveni Vaidya,23,8,3,3,M
12880,12880,Harish Kunda,62,3,3,5,M
22254,22254,Jeremiah Deshmukh,74,7,2,3,F
5533,5533,Eta Mander,42,6,4,6,F
6965,6965,Oscar Setty,48,1,4,4,M
9385,9385,Geetika Hayre,69,6,3,1,F
400,400,Radhika Kant,54,4,2,2,M
17770,17770,Nachiket Karan,52,5,4,3,M
39347,39347,Oeshi Batta,66,3,4,5,M
1183,1183,Neha Varughese,29,7,1,6,F
19041,19041,Shaurya Golla,73,3,4,4,M
16679,16679,Veer Saha,53,6,3,3,M
4378,4378,Warhi Uppal,19,3,2,3,M
2515,2515,Anvi Dixit,49,6,3,5,M
25412,25412,Triveni Hans,27,2,3,4,M
4213,4213,Neelima Thakkar,66,7,4,4,M
6543,6543,Advik Vasa,19,1,3,5,M
15398,15398,Saanvi Ramakrishnan,31,7,4,3,M
34547,34547,Samarth Bhalla,36,5,2,6,F
27950,27950,Aadi Vaidya,57,8,1,3,M
15961,15961,Lakshit Goda,46,7,3,4,M
32751,32751,Noah Kunda,39,2,1,3,F
24003,24003,Urmi Bal,31,8,4,4,F
24439,24439,Tripti Gill,54,3,2,2,F
30621,30621,Karan Mukherjee,20,1,3,4,M
39420,39420,Rehaan Karpe,22,2,1,1,M
2028,2028,Devansh Gulati,73,6,2,5,M
22190,22190,Ekantika Ratta,23,3,3,5,F
33355,33355,Mohini Chaudry,30,1,4,2,F
16714,16714,Saanvi Sarma,65,5,3,6,F
20594,20594,Shaurya Bera,22,4,4,3,M
34182,34182,Bhavya Rastogi,43,5,4,3,F
19778,19778,Henry Karan,52,4,1,6,F
19107,19107,Eta Mukhopadhyay,26,3,3,5,M
12002,12002,Kala Kadakia,25,3,2,5,M
30534,30534,Aarna Shan,19,2,3,2,M
21649,21649,Ria Sharma,74,2,1,1,M
896,896,Adya Prabhu,38,6,3,4,M
34083,34083,Madhav Upadhyay,54,2,3,3,F
32538,32538,Falan Sodhi,18,5,3,1,F
17794,17794,Ubika Pandey,74,2,1,6,F
11488,11488,Yauvani Murty,25,5,2,3,F
21301,21301,Fiyaz Thaman,55,8,4,5,M
17253,17253,Ekavir Parsa,31,2,1,6,F
21732,21732,Nakul Date,21,6,4,5,M
32336,32336,Dipta Din,60,5,2,2,M
29710,29710,Amruta Viswanathan,72,2,3,3,M
7844,7844,Rehaan Bhandari,29,6,3,1,F
29078,29078,Qadim Sant,38,3,3,4,F
25100,25100,Anirudh Bhat,45,1,1,1,F
35916,35916,Riya Dhillon,41,4,2,1,F
25341,25341,Nidra Lall,40,3,2,1,M
1265,1265,Advika Srinivas,45,2,1,4,F
33756,33756,Mitali Kala,45,8,1,4,F
34194,34194,Farhan Saxena,20,5,3,3,F
39028,39028,Abdul Dugar,47,2,3,3,M
11530,11530,Hemangini Sharma,74,6,4,4,F
30327,30327,Omya Thaman,49,4,3,1,F
36327,36327,Kamya Vohra,38,3,3,1,M
8067,8067,Kai Mohanty,61,4,1,6,F
14081,14081,Vritti Dara,30,7,2,4,M
37261,37261,Advay Cherian,45,8,2,4,M
23894,23894,Xalak Jaggi,58,7,2,2,M
7532,7532,Yatan Talwar,22,5,1,2,M
27395,27395,Gavin Sha,46,2,2,5,F
9317,9317,Gaurang Morar,48,8,1,2,M
38601,38601,Balhaar Raval,38,7,1,2,M
28828,28828,Qadim Agrawal,51,6,3,4,F
32625,32625,Jeet Shere,69,2,2,2,M
15438,15438,Matthew Kumar,38,6,3,6,M
25561,25561,Jatin Ghosh,73,7,1,4,F
18498,18498,Yuvraj Sodhi,25,7,2,2,M
3677,3677,Zilmil Wagle,44,5,4,1,F
14203,14203,Kamala Vasa,20,2,4,5,F
35921,35921,Advay Wali,56,5,2,6,F
26325,26325,Anmol Rana,50,1,4,2,M
18460,18460,Tanish Barman,58,5,1,6,M
29880,29880,Yashica Lad,18,1,2,5,M
14806,14806,Aarini Srivastava,40,6,1,1,F
17776,17776,Ladli Keer,70,6,1,4,M
21484,21484,Vansha Handa,24,1,2,5,M
29786,29786,Ucchal Raj,56,2,1,1,F
2943,2943,Laksh Bawa,54,2,3,3,M
16754,16754,Henry Gole,44,5,1,1,F
6475,6475,Damini Narayan,25,2,1,5,M
21536,21536,Robert Murty,69,7,2,6,F
36231,36231,Pavani Mody,37,6,3,2,M
3670,3670,Hemangini Gulati,34,3,2,6,M
25730,25730,Yahvi Khanna,21,7,2,5,M
14950,14950,Upadhriti Kumar,20,4,3,5,M
35587,35587,Vinaya Ravi,39,6,3,6,F
8282,8282,Harita Shankar,58,7,3,1,M
37030,37030,Indira Ghose,45,6,3,4,F
20901,20901,Reva Ganguly,67,1,3,2,M
6924,6924,Mohini Khare,61,6,4,4,M
16549,16549,Akshay Vig,37,6,4,5,M
18750,18750,Warinder Saraf,24,6,4,6,M
11848,11848,Chandani Majumdar,49,8,4,4,F
32391,32391,Vamakshi Kant,46,4,2,6,F
19259,19259,Nitesh Pal,74,3,4,5,F
31561,31561,Vidhi Das,35,6,4,6,F
921,921,Advik Pai,64,4,3,1,M
8123,8123,Amol Trivedi,46,6,2,5,M
25706,25706,Agastya Sankar,70,6,4,5,F
