EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,
1,24,932,1,1,KGID100001,Tripti,06-02-1970,F,B+,0,
2,13,506,2,1,KGID100002,Dominic,03-10-1986,M,O-,0,
3,11,710,1,1,KGID100003,Manbir,24-10-1985,M,B+,0,
4,28,516,5,1,KGID100004,Suhani,14-05-1994,M,O-,0,
5,11,707,2,4,KGID100005,Jatin,01-02-1996,F,A+,0,
6,5,1055,7,2,KGID100006,Naveen,03-11-1992,F,O+,0,
7,29,562,2,2,KGID100007,Vinaya,15-04-1993,F,A+,0,
8,3,372,4,1,KGID100008,Mitali,02-11-1989,F,O+,0,
9,26,896,3,1,KGID100009,Ucchal,03-04-1973,F,O-,0,
10,1,405,4,1,KGID100010,Bhanumati,26-10-1971,F,O-,0,
11,5,1184,7,3,KGID100011,Bhanumati,25-08-1987,M,A+,0,
12,30,324,6,2,KGID100012,Oscar,05-01-1996,F,A+,0,
13,5,1153,2,1,KGID100013,Nathaniel,13-04-1970,F,O+,0,
14,15,742,6,3,KGID100014,Bhavya,16-05-1998,M,O+,0,
15,12,641,2,3,KGID100015,Osha,01-10-1974,M,O-,0,
16,24,928,2,2,KGID100016,Neha,22-05-1983,M,AB+,0,
17,27,666,3,2,KGID100017,Lakshmi,21-02-1978,F,A+,0,
18,28,512,7,1,KGID100018,Saanvi,03-12-1985,F,AB+,0,
19,16,552,1,2,KGID100019,Tripti,19-02-1978,F,B+,0,
20,8,949,4,4,KGID100020,Zarna,13-02-1989,F,B+,0,
21,16,549,2,2,KGID100021,Triya,14-09-1968,F,O-,0,
22,11,716,5,4,KGID100022,Meghana,10-07-1969,F,B+,0,
23,23,419,5,4,KGID100023,Chandran,07-10-1974,M,A+,0,
24,5,1159,1,2,KGID100024,Pallavi,24-12-1988,M,AB+,0,
25,26,888,1,4,KGID100025,Warinder,01-07-2000,F,O-,0,
26,15,757,5,3,KGID100026,Vrishti,08-01-1971,M,A+,0,
27,19,976,5,3,KGID100027,Ayaan,17-09-1991,F,A+,0,
28,29,578,4,2,KGID100028,Tanmayi,22-08-1992,F,A+,0,
29,20,1254,6,3,KGID100029,Yochana,13-04-1977,M,O-,0,
30,17,1212,1,3,KGID100030,Qushi,19-11-1989,M,B+,0,
31,25,660,7,2,KGID100031,Gopal,12-10-1985,M,O-,0,
32,10,609,4,1,KGID100032,Mahika,16-03-1987,M,O+,0,
33,5,1177,7,3,KGID100033,Radhika,23-02-1970,M,A+,0,
34,28,524,5,1,KGID100034,Vedant,05-02-1973,M,AB+,0,
35,5,1113,1,2,KGID100035,Hemal,25-10-1989,M,AB+,0,
36,9,1247,5,2,KGID100036,Nimrat,29-02-1984,F,O-,0,
37,5,1171,5,4,KGID100037,Jai,15-06-1997,M,O-,0,
38,5,1051,6,2,KGID100038,Rachit,11-11-1987,F,AB+,0,
39,19,965,6,3,KGID100039,Megha,03-05-1973,F,O-,0,
40,15,740,1,2,KGID100040,Advika,31-05-1972,M,A+,0,
41,10,624,1,2,KGID100041,Amruta,08-10-1968,M,A+,0,
42,31,350,6,1,KGID100042,Bachittar,10-07-1992,M,A+,0,
43,17,1205,1,3,KGID100043,Nirja,09-03-1975,M,O-,0,
44,28,521,3,4,KGID100044,Yashvi,23-08-1973,M,O-,0,
45,1,413,6,4,KGID100045,Darsh,11-04-1986,M,AB+,0,
46,5,1104,4,2,KGID100046,Mekhala,24-07-1998,M,A+,0,
47,8,952,4,3,KGID100047,Henry,18-02-1994,F,AB+,0,
48,15,756,7,1,KGID100048,Manbir,10-05-1998,M,A+,0,
49,11,690,6,3,KGID100049,Lipika,09-09-1971,M,B+,0,
50,14,474,2,4,KGID100050,Janaki,25-11-1989,M,AB+,0,
51,14,465,3,4,KGID100051,Mahika,22-03-1973,M,A+,0,
52,18,731,7,1,KGID100052,Meghana,17-05-1988,M,O-,0,
53,5,1134,1,1,KGID100053,Watika,29-07-1986,M,B+,0,
54,11,694,4,4,KGID100054,Imaran,30-04-1999,M,AB+,0,
55,17,1202,1,2,KGID100055,Shaurya,09-09-1969,F,A+,0,
56,27,677,3,4,KGID100056,Triveni,03-07-1991,F,AB+,0,
57,4,991,6,4,KGID100057,Arin,26-05-1989,M,B+,0,
58,29,581,2,1,KGID100058,Urmi,17-12-2000,M,O+,0,
59,30,336,1,4,KGID100059,Chakradev,14-09-1991,M,A+,0,
60,22,798,1,2,KGID100060,Darpan,19-07-1973,M,O-,0,
61,31,347,6,2,KGID100061,Ojas,15-10-1995,F,A+,0,
62,9,1242,5,2,KGID100062,Anvi,11-01-1988,M,O-,0,
63,3,361,4,3,KGID100063,Rishi,12-11-1991,F,B+,0,
64,19,963,6,3,KGID100064,Nidra,04-10-1967,M,O+,0,
65,27,683,2,3,KGID100065,Radhika,12-04-1979,F,O+,0,
66,9,1229,7,1,KGID100066,Chaitaly,05-05-1982,M,AB+,0,
67,26,914,5,1,KGID100067,Keya,11-07-1975,M,O-,0,
68,13,496,5,3,KGID100068,Ranveer,22-09-1993,M,O+,0,
69,5,1180,1,2,KGID100069,Qushi,13-08-1992,F,O+,0,
70,23,439,4,3,KGID100070,Yashasvi,01-07-1969,M,O-,0,
71,2,584,6,1,KGID100071,Harinakshi,05-09-1986,M,O+,0,
72,3,396,1,2,KGID100072,Theodore,16-10-1996,F,O+,0,
73,26,897,2,3,KGID100073,Libni,05-04-1984,M,O+,0,
74,22,795,4,3,KGID100074,Chakradev,30-01-1969,M,A+,0,
75,24,927,4,3,KGID100075,Yashoda,15-11-1972,M,A+,0,
76,10,619,7,2,KGID100076,Daniel,16-02-1995,F,B+,0,
