VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,17811,Quincy Yogi,14,M,0
2,17811,Nitesh Hans,53,M,0
3,7227,Gaurika Krishna,42,M,0
4,7227,Kala Dhar,66,M,0
5,21970,Nirja Dani,27,T,0
6,36977,Tejas Ramesh,7,M,0
7,22285,Chandran Choudhury,44,F,0
8,22285,Kala Borde,42,M,0
9,7946,Qarin Bhattacharyya,18,M,0
10,7946,Upadhriti Sachdev,74,T,0
11,21271,Lila Mitter,27,F,0
12,30973,Jagdish Muni,75,F,0
13,25722,Simon Vora,69,M,0
14,25722,Upma Sunder,26,F,0
15,15104,Mitali Pandey,52,F,0
16,15104,Rishi Chokshi,67,M,0
17,6412,Ayaan Chhabra,9,T,0
18,916,Charvi Saha,6,M,0
19,916,Garima Toor,21,M,0
20,32897,Dakshesh Viswanathan,43,M,0
21,32897,Ekbal Chhabra,69,F,0
22,12887,Chakradev De,8,M,0
23,12887,Arin Hans,30,T,0
24,12880,Bimala Chowdhury,45,F,0
25,12880,Gautam Rajagopalan,19,F,0
26,22254,Raghav Mammen,8,T,0
27,22254,Henry Dube,23,T,0
28,5533,Shaurya Merchant,8,M,0
29,6965,Chasmum Chowdhury,80,F,0
30,6965,Odika Ratti,22,T,0
31,9385,Kala Manne,41,F,0
32,400,Abhimanyu Balay,32,F,0
33,17770,Lohit Goda,78,T,0
34,39347,Harini Varughese,70,T,0
35,39347,Nimrat Dhaliwal,46,T,0
36,1183,Faqid Gour,77,M,0
37,19041,Vritti Zacharia,68,T,0
38,19041,Finn Gulati,19,F,0
39,16679,Nihal Ganguly,39,F,0
40,4378,Ethan Saini,14,T,0
41,4378,Radha Sridhar,41,M,0
42,2515,Reyansh Raghavan,74,M,0
43,2515,Manya Gera,69,F,0
44,25412,Dominic Nagy,55,T,0
45,25412,Gauri Peri,21,M,0
46,4213,Hredhaan Krishnan,11,T,0
47,4213,Harita Chawla,11,M,0
48,6543,Lucky Chakrabarti,72,M,0
49,6543,Frederick Sura,52,M,0
50,15398,Januja Bali,55,T,0
51,15398,Viraj Johal,28,T,0
52,34547,Pavani Halder,16,F,0
53,34547,Rohan Kaur,76,T,0
54,27950,Ikshita Pingle,78,T,0
55,15961,Watika Saran,68,T,0
56,32751,Dayamai Sankaran,77,M,0
57,32751,Ubika Pillai,43,F,0
58,24003,Aditya Srinivas,50,T,0
59,24439,Nidhi Kanda,8,F,0
60,24439,Vrinda Ramanathan,66,T,0
61,30621,Upadhriti Lal,47,F,0
62,30621,Hemangini Patel,34,F,0
63,39420,Avni Dora,72,M,0
64,39420,Netra Iyer,73,F,0
65,2028,Mohammed Chakrabarti,46,F,0
66,2028,Ranveer Kata,64,F,0
67,22190,Urvashi Mishra,54,M,0
68,22190,Nidhi Chopra,9,M,0
69,33355,Vincent Saraf,24,M,0
